,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,0.95
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,12 pixels
Threshold,197
,
Theoretical FWHM in XY,270 nm
Theoratical FWHM in Z,1.3 um
,
HeatMap Statistics,
FWHM min,422 nm +/- 11 nm
FWHMmin / Theoretical FWHMxy,1.566 +/- 0.04
FWHM max,550 nm +/- 36 nm
FWHMmax / Theoretical FWHMxy,2.041 +/- 0.134
FWHM z,2.08 um +/- 72.03 nm
FWHMz / Theoretical FWHMz,1.605 +/- 0.056
z0,+/- 8.33 um
(z0 - mean(z0)) / FWHMz,+/- 6.421
Asymmetry,0.772 +/- 0.054
Theta,-53.9 deg +/- 49.8 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
67,-52.201,20.863,2.824,0.436,0.475,2.193,-34.693,0.918,-86.015,0.966,0.986,1,542,563.587,124.602,data_traditional
68,23.98,9.79,2.811,0,0,1.631,-34.706,0.0,0,0,0.685,0,182,0,0,data_traditional
69,-50.301,5.659,3.057,0.438,0.469,4.978,-34.461,0.935,-53.186,0.963,0.852,0,731,594.726,124.635,data_traditional
70,-158.232,-4.539,2.241,0.458,0.612,2.708,-35.276,0.749,14.737,0.893,0.953,0,293,184.881,118.794,data_traditional
71,90.385,-56.386,2.914,0.486,0.671,2.598,-34.603,0.725,-58.391,0.916,0.961,1,405,266.411,120.582,data_traditional
72,-33.081,-81.569,0.414,0.601,2.79,1.942,-37.103,0.215,-4.164,0.748,0.652,0,319,106.456,118.81,data_traditional
73,-57.971,85.103,2.792,0.395,0.624,2.0,-34.725,0.633,-70.127,0.932,0.955,1,350,332.642,120.102,data_traditional
74,158.026,82.854,2.517,0.409,0.503,2.611,-35.0,0.813,41.632,0.864,0.941,0,253,159.408,116.452,data_traditional
75,160.508,59.661,0.65,0.466,0.56,3.706,-36.867,0.833,36.067,0.867,0.776,0,221,100.47,114.835,data_traditional
76,-50.007,30.226,3.362,0.427,0.5,2.187,-34.155,0.854,-89.446,0.97,0.982,1,540,492.193,122.297,data_traditional
77,-53.414,22.801,0.671,0.617,1.13,1.618,-36.846,0.546,-4.315,0.809,0.791,0,288,108.484,120.35,data_traditional
78,-91.263,11.741,3.489,0.403,0.484,2.102,-34.029,0.831,75.065,0.971,0.984,1,687,649.983,124.408,data_traditional
79,105.554,-17.139,3.292,0.478,0.645,2.842,-34.225,0.742,-62.325,0.939,0.972,1,404,300.583,122.465,data_traditional
80,-71.28,-45.577,0.332,0,0,3.343,-37.185,0.0,0,0,0.783,0,194,0,0,data_traditional
81,-142.472,-54.347,2.534,0.448,0.549,2.469,-34.983,0.817,38.738,0.913,0.935,1,294,222.556,114.921,data_traditional
82,-137.103,-55.063,1.469,0.504,0.613,2.879,-36.048,0.821,-58.645,0.922,0.906,1,260,154.612,114.991,data_traditional
83,65.792,-69.365,2.869,0.506,0.639,2.488,-34.648,0.793,-81.016,0.917,0.978,1,431,283.732,122.852,data_traditional
84,8.534,-90.885,2.813,0.599,0.661,1.986,-34.704,0.906,-75.177,0.882,0.961,0,472,322.285,121.462,data_traditional
85,39.778,-95.351,4.696,0.512,1.563,3.756,-32.821,0.327,12.5,0.759,0.865,0,302,181.215,123.498,data_traditional
86,81.535,93.881,4.164,0.614,0.748,1.849,-33.354,0.821,33.718,0.868,0.482,0,410,159.201,119.283,data_traditional
87,-3.39,83.162,2.862,0.449,0.779,2.466,-34.655,0.576,-86.349,0.897,0.963,0,270,246.948,122.486,data_traditional
88,-29.832,67.964,0.78,0.992,1.053,2.1,-36.737,0.943,87.469,0.74,0.811,0,309,99.16,116.527,data_traditional
89,11.22,56.87,1.528,0,0,3.349,-35.99,0.0,0,0,0.741,0,202,0,0,data_traditional
90,-140.059,13.553,3.067,0.468,0.51,3.005,-34.45,0.917,-0.356,0.915,0.958,1,331,232.405,117.219,data_traditional
91,-44.172,1.395,3.783,0.416,0.483,3.933,-33.734,0.862,77.432,0.93,0.731,0,476,376.415,119.263,data_traditional
92,-74.589,-7.794,3.264,0.424,0.505,2.136,-34.253,0.841,72.159,0.929,0.972,1,479,375.816,122.8,data_traditional
93,81.951,-17.061,3.21,0.484,0.555,2.628,-34.307,0.872,86.76,0.911,0.933,1,390,248.936,121.036,data_traditional
94,26.742,-17.351,3.855,0.543,0.987,3.525,-33.663,0.55,20.757,0.871,0.829,0,358,200.759,118.311,data_traditional
95,62.912,-19.146,4.414,0.473,0.798,3.179,-33.103,0.593,39.68,0.9,0.769,0,490,319.558,121.508,data_traditional
96,17.301,-29.763,4.666,0.648,1.434,2.244,-32.851,0.452,11.849,0.699,0.687,0,263,123.154,120.456,data_traditional
97,37.817,-30.824,3.124,0.498,0.624,2.16,-34.394,0.798,-87.091,0.918,0.962,1,430,292.927,120.95,data_traditional
98,115.282,-44.026,3.382,0.491,0.699,2.784,-34.135,0.702,-50.174,0.902,0.962,1,324,230.148,117.197,data_traditional
99,42.139,-44.966,4.033,0.565,0.735,4.232,-33.484,0.769,46.432,0.882,0.771,0,423,261.959,118.839,data_traditional
100,30.566,-56.089,52.513,0.07,0.711,2.15,14.996,0.098,-85.874,0.477,0.802,0,276,250.817,122.367,data_traditional
101,-62.043,-58.495,3.184,0.48,0.555,2.067,-34.333,0.864,58.746,0.944,0.973,1,465,358.1,121.31,data_traditional
102,-39.249,-58.62,3.281,0.508,0.576,2.008,-34.237,0.882,-70.72,0.935,0.976,1,515,462.035,121.765,data_traditional
103,5.03,-59.875,3.948,0.484,1.22,2.871,-33.569,0.396,4.006,0.765,0.816,0,249,154.323,119.675,data_traditional
104,-74.8,-65.01,0.395,0,0,3.984,-37.122,0.0,0,0,0.879,0,208,0,0,data_traditional
105,20.589,-69.895,3.352,0.514,0.707,1.984,-34.165,0.726,87.871,0.926,0.985,1,587,493.506,125.299,data_traditional
106,96.446,-87.064,3.85,0.505,0.939,3.815,-33.667,0.538,39.263,0.752,0.826,0,273,157.128,121.151,data_traditional
107,-106.533,91.714,3.286,0.417,0.516,2.169,-34.231,0.808,-53.443,0.942,0.955,1,429,364.846,121.326,data_traditional
108,60.268,58.338,3.449,0.435,0.641,2.251,-34.068,0.679,87.027,0.933,0.981,1,445,388.31,123.036,data_traditional
109,1.205,54.201,3.152,0.441,0.586,2.373,-34.365,0.752,-81.848,0.927,0.946,1,364,336.074,120.1,data_traditional
110,150.092,51.258,2.712,0.428,0.685,3.7,-34.805,0.625,18.122,0.831,0.902,0,222,119.402,113.835,data_traditional
111,144.786,38.837,2.126,0.446,0.644,3.043,-35.391,0.692,28.473,0.777,0.874,0,250,102.607,114.363,data_traditional
112,26.729,28.902,0.894,2.184,3.632,1.761,-36.624,0.601,0.0,0.159,0.837,0,103,-30.19,145.012,data_traditional
113,25.123,22.732,3.615,0.415,0.678,2.286,-33.902,0.613,-82.875,0.927,0.979,1,570,436.933,124.585,data_traditional
114,161.897,20.977,1.245,0.526,0.582,2.745,-36.273,0.904,-44.766,0.778,0.654,0,205,86.355,114.459,data_traditional
115,-145.602,12.887,2.711,0.463,0.579,2.703,-34.807,0.799,15.154,0.874,0.906,0,224,148.641,116.092,data_traditional
116,120.349,12.191,3.079,0.466,0.565,2.461,-34.438,0.825,-84.231,0.886,0.962,0,307,191.716,118.011,data_traditional
117,81.619,1.781,3.506,0.465,0.585,2.527,-34.011,0.796,82.193,0.935,0.975,1,404,293.635,118.717,data_traditional
118,43.266,-2.93,3.492,0.426,0.544,2.727,-34.025,0.783,88.742,0.945,0.979,1,554,485.186,123.015,data_traditional
119,12.371,-17.845,3.671,0.45,0.558,2.406,-33.846,0.807,89.983,0.945,0.989,1,663,529.247,126.625,data_traditional
120,-142.472,-54.347,2.534,0.447,0.546,2.469,-34.983,0.819,38.701,0.916,0.935,1,294,222.767,115.32,data_traditional
121,111.339,-91.703,4.462,0.6,0.863,3.102,-33.055,0.695,53.277,0.785,0.894,0,321,185.201,124.745,data_traditional
